ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field,all.cal,all.leps,site.region,week,year
U344,SO,05/12/15,D01,DE100,DN200,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.3,95,NA,0,0,D,20,2015
U340,SO,05/12/15,D01,DE100,DN200,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.7,95,NA,0,0,D,20,2015
U352,SO,05/12/15,D01,DE100,DN200,0,0,NA,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.7,86,NA,0,0,D,20,2015
U337,SO,05/12/15,D01,DE100,DN200,0,0,NA,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.6,95,NA,0,0,D,20,2015
U339,SO,05/12/15,D01,DE100,DN200,0,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.2,85,NA,0,0,D,20,2015
U354,SO,05/12/15,D01,DE100,DN200,0,0,NA,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.9,96,NA,0,0,D,20,2015
U345,SO,05/12/15,D01,DE100,DN200,1,0,NA,1,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.9,92,NA,0,0,D,20,2015
U346,SO,05/12/15,D01,DE100,DN200,0,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.4,96,NA,0,0,D,20,2015
U353,SO,05/12/15,D01,DE100,DN200,0,0,NA,2,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.7,92,NA,0,0,D,20,2015
U338,SO,05/12/15,D01,DE100,DN200,0,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,14.6,105,NA,0,0,D,20,2015
